"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"YDR531W" "MATCH" "1" "CAB1" "S. cerevisiae" "Coenzyme A Biosynthesis" "1104" "YDR531W" "S000002939" "ORF"
"YJL212C" "MATCH" "1" "OPT1" "S. cerevisiae" "OligoPeptide Transporter" "2400" "YJL212C" "S000003748" "ORF"
"YNR012W" "MATCH" "1" "URK1" "S. cerevisiae" "URidine Kinase" "1506" "YNR012W" "S000005295" "ORF"
"YBR068C" "MATCH" "1" "BAP2" "S. cerevisiae" "Branched-chain Amino acid Permease" "1830" "YBR068C" "S000000272" "ORF"
"YIL078W" "MATCH" "1" "THS1" "S. cerevisiae" "THreonyl tRNA Synthetase" "2205" "YIL078W" "S000001340" "ORF"
"YDR402C" "MATCH" "1" "DIT2" "S. cerevisiae" "DITyrosine" "1470" "YDR402C" "S000002810" "ORF"
"YGR124W" "MATCH" "1" "ASN2" "S. cerevisiae" "ASparagiNe requiring" "1719" "YGR124W" "S000003356" "ORF"
"YLL041C" "MATCH" "1" "SDH2" "S. cerevisiae" "Succinate DeHydrogenase" "801" "YLL041C" "S000003964" "ORF"
"YGL009C" "MATCH" "1" "LEU1" "S. cerevisiae" "LEUcine biosynthesis" "2340" "YGL009C" "S000002977" "ORF"
"YCR048W" "MATCH" "1" "ARE1" "S. cerevisiae" "Acyl-coenzyme A: cholesterol acyl transferase-Related Enzyme" "1833" "YCR048W" "S000000644" "ORF"
"YLR209C" "MATCH" "1" "PNP1" "S. cerevisiae" "purine nucleoside phosphorylase" "936" "YLR209C" "S000004199" "ORF"
"YNR016C" "MATCH" "1" "ACC1" "S. cerevisiae" "Acetyl-CoA Carboxylase" "6702" "YNR016C" "S000005299" "ORF"
"YER070W" "MATCH" "1" "RNR1" "S. cerevisiae" "RiboNucleotide Reductase" "2667" "YER070W" "S000000872" "ORF"
"YGL202W" "MATCH" "1" "ARO8" "S. cerevisiae" "AROmatic amino acid requiring" "1503" "YGL202W" "S000003170" "ORF"
"YMR056C" "MATCH" "1" "AAC1" "S. cerevisiae" "ADP/ATP Carrier" "930" "YMR056C" "S000004660" "ORF"
"YMR165C" "MATCH" "1" "PAH1" "S. cerevisiae" "Phosphatidic Acid phosphoHydrolase" "2589" "YMR165C" "S000004775" "ORF"
"YOR348C" "MATCH" "1" "PUT4" "S. cerevisiae" "Proline UTilization" "1884" "YOR348C" "S000005875" "ORF"
"YML110C" "MATCH" "1" "COQ5" "S. cerevisiae" "COenzyme Q" "924" "YML110C" "S000004578" "ORF"
"YCR024C" "MATCH" "1" "SLM5" "S. cerevisiae" "Synthetic Lethal with Mss4" "1479" "YCR024C" "S000000618" "ORF"
"YMR250W" "MATCH" "1" "GAD1" "S. cerevisiae" "GlutAmate Decarboxylase" "1758" "YMR250W" "S000004862" "ORF"
"YJR153W" "MATCH" "1" "PGU1" "S. cerevisiae" "PolyGalactUronase" "1086" "YJR153W" "S000003914" "ORF"
"YIL162W" "MATCH" "1" "SUC2" "S. cerevisiae" "SUCrose" "1599" "YIL162W" "S000001424" "ORF"
"YIL053W" "MATCH" "1" "GPP1" "S. cerevisiae" "Glycerol-3-Phosphate Phosphatase" "753" "YIL053W" "S000001315" "ORF"
"YDL080C" "MATCH" "1" "THI3" "S. cerevisiae" "THIamine metabolism" "1830" "YDL080C" "S000002238" "ORF"
"YFL001W" "MATCH" "1" "DEG1" "S. cerevisiae" "DEpressed Growth rate" "1329" "YFL001W" "S000001895" "ORF"
"YBL033C" "MATCH" "1" "RIB1" "S. cerevisiae" "RIBoflavin biosynthesis" "1038" "YBL033C" "S000000129" "ORF"
"YMR189W" "MATCH" "1" "GCV2" "S. cerevisiae" "GlyCine cleaVage" "3105" "YMR189W" "S000004801" "ORF"
"YNL029C" "MATCH" "1" "KTR5" "S. cerevisiae" "Kre Two Related" "1569" "YNL029C" "S000004974" "ORF"
"YJL214W" "MATCH" "1" "HXT8" "S. cerevisiae" "HeXose Transporter" "1710" "YJL214W" "S000003750" "ORF"
"YMR298W" "MATCH" "1" "LIP1" "S. cerevisiae" "Lag1p/Lac1p Interacting Protein" "453" "YMR298W" "S000004913" "ORF"
"YHR190W" "MATCH" "1" "ERG9" "S. cerevisiae" "ERGosterol biosynthesis" "1335" "YHR190W" "S000001233" "ORF"
"YGL008C" "MATCH" "1" "PMA1" "S. cerevisiae" "Plasma Membrane ATPase" "2757" "YGL008C" "S000002976" "ORF"
"YJL129C" "MATCH" "1" "TRK1" "S. cerevisiae" "TRansport of potassium (K)" "3708" "YJL129C" "S000003665" "ORF"
"YNL247W" "MATCH" "1" "" "S. cerevisiae" "" "2304" "YNL247W" "S000005191" "ORF"
"YPL160W" "MATCH" "1" "CDC60" "S. cerevisiae" "Cell Division Cycle" "3273" "YPL160W" "S000006081" "ORF"
"YBR041W" "MATCH" "1" "FAT1" "S. cerevisiae" "FATty acid transporter" "2010" "YBR041W" "S000000245" "ORF"
"YGL225W" "MATCH" "1" "VRG4" "S. cerevisiae" "Vandate Resistance Glycosylation" "1014" "YGL225W" "S000003193" "ORF"
"YBR042C" "MATCH" "1" "CST26" "S. cerevisiae" "Chromosome STability" "1194" "YBR042C" "S000000246" "ORF"
"YDR400W" "MATCH" "1" "URH1" "S. cerevisiae" "URidine Hydrolase" "1023" "YDR400W" "S000002808" "ORF"
"YJR130C" "MATCH" "1" "STR2" "S. cerevisiae" "Sulfur TRansfer" "1920" "YJR130C" "S000003891" "ORF"
"YOR347C" "MATCH" "1" "PYK2" "S. cerevisiae" "PYruvate Kinase" "1521" "YOR347C" "S000005874" "ORF"
"YEL069C" "MATCH" "1" "HXT13" "S. cerevisiae" "HeXose Transporter" "1695" "YEL069C" "S000000795" "ORF"
"YOR323C" "MATCH" "1" "PRO2" "S. cerevisiae" "PROline requiring" "1371" "YOR323C" "S000005850" "ORF"
"YHR216W" "MATCH" "1" "IMD2" "S. cerevisiae" "IMP Dehydrogenase" "1572" "YHR216W" "S000001259" "ORF"
"YJR152W" "MATCH" "1" "DAL5" "S. cerevisiae" "Degradation of Allantoin" "1632" "YJR152W" "S000003913" "ORF"
"YEL021W" "MATCH" "1" "URA3" "S. cerevisiae" "URAcil requiring" "804" "YEL021W" "S000000747" "ORF"
"YDR007W" "MATCH" "1" "TRP1" "S. cerevisiae" "TRyPtophan" "675" "YDR007W" "S000002414" "ORF"
"YPL097W" "MATCH" "1" "MSY1" "S. cerevisiae" "Mitochondrial aminoacyl-tRNA Synthetase, tyrosine (Y)" "1479" "YPL097W" "S000006018" "ORF"
"YOL096C" "MATCH" "1" "COQ3" "S. cerevisiae" "COenzyme Q" "939" "YOL096C" "S000005456" "ORF"
"YML042W" "MATCH" "1" "CAT2" "S. cerevisiae" "Carnitine AcetylTransferase" "2013" "YML042W" "S000004506" "ORF"
"YER053C" "MATCH" "1" "PIC2" "S. cerevisiae" "PI Carrier" "903" "YER053C" "S000000855" "ORF"
"YBR132C" "MATCH" "1" "AGP2" "S. cerevisiae" "high-Affinity Glutamine Permease" "1791" "YBR132C" "S000000336" "ORF"
"YNR033W" "MATCH" "1" "ABZ1" "S. cerevisiae" "para-AminoBenZoic acid (PABA) biosynthesis" "2364" "YNR033W" "S000005316" "ORF"
"YEL046C" "MATCH" "1" "GLY1" "S. cerevisiae" "GLYcine requiring" "1164" "YEL046C" "S000000772" "ORF"
"YBR023C" "MATCH" "1" "CHS3" "S. cerevisiae" "CHitin Synthase-related" "3498" "YBR023C" "S000000227" "ORF"
"YLL043W" "MATCH" "1" "FPS1" "S. cerevisiae" "fdp1 Suppressor" "2010" "YLL043W" "S000003966" "ORF"
"YIL099W" "MATCH" "1" "SGA1" "S. cerevisiae" "Sporulation-specific GlycoAmylase" "1650" "YIL099W" "S000001361" "ORF"
"YDL171C" "MATCH" "1" "GLT1" "S. cerevisiae" "GLuTamate synthase" "6438" "YDL171C" "S000002330" "ORF"
"YAL054C" "MATCH" "1" "ACS1" "S. cerevisiae" "Acetyl CoA Synthetase" "2142" "YAL054C" "S000000050" "ORF"
"YGR256W" "MATCH" "1" "GND2" "S. cerevisiae" "6-phosphoGlucoNateDehydrogenase" "1479" "YGR256W" "S000003488" "ORF"
"YBR265W" "MATCH" "1" "TSC10" "S. cerevisiae" "Temperature-sensitive Suppressors of Csg2 mutants" "963" "YBR265W" "S000000469" "ORF"
"YPR062W" "MATCH" "1" "FCY1" "S. cerevisiae" "FluoroCYtosine resistance" "477" "YPR062W" "S000006266" "ORF"
"YNR057C" "MATCH" "1" "BIO4" "S. cerevisiae" "BIOtin" "714" "YNR057C" "S000005340" "ORF"
"YDL085W" "MATCH" "1" "NDE2" "S. cerevisiae" "NADH Dehydrogenase, External" "1638" "YDL085W" "S000002243" "ORF"
"YOL097C" "MATCH" "1" "WRS1" "S. cerevisiae" "W (tryptophan) RS (tRNA synthetase)" "1299" "YOL097C" "S000005457" "ORF"
"YMR120C" "MATCH" "1" "ADE17" "S. cerevisiae" "ADEnine" "1779" "YMR120C" "S000004727" "ORF"
"YEL047C" "MATCH" "1" "FRD1" "S. cerevisiae" "Fumarate ReDuctase" "1413" "YEL047C" "S000000773" "ORF"
"YKL192C" "MATCH" "1" "ACP1" "S. cerevisiae" "Acyl Carrier Protein" "378" "YKL192C" "S000001675" "ORF"
"YER052C" "MATCH" "1" "HOM3" "S. cerevisiae" "HOMoserine requiring" "1584" "YER052C" "S000000854" "ORF"
"YFR015C" "MATCH" "1" "GSY1" "S. cerevisiae" "Glycogen SYnthase" "2127" "YFR015C" "S000001911" "ORF"
"YMR145C" "MATCH" "1" "NDE1" "S. cerevisiae" "NADH Dehydrogenase, External" "1683" "YMR145C" "S000004753" "ORF"
"YCL018W" "MATCH" "1" "LEU2" "S. cerevisiae" "LEUcine biosynthesis" "1095" "YCL018W" "S000000523" "ORF"
"YMR169C" "MATCH" "1" "ALD3" "S. cerevisiae" "ALdehyde Dehydrogenase" "1521" "YMR169C" "S000004779" "ORF"
"YBL030C" "MATCH" "1" "PET9" "S. cerevisiae" "PETite" "957" "YBL030C" "S000000126" "ORF"
"YMR011W" "MATCH" "1" "HXT2" "S. cerevisiae" "HeXose Transporter" "1626" "YMR011W" "S000004613" "ORF"
"YFL045C" "MATCH" "1" "SEC53" "S. cerevisiae" "SECretory" "765" "YFL045C" "S000001849" "ORF"
"YBR153W" "MATCH" "1" "RIB7" "S. cerevisiae" "RIBoflavin biosynthesis" "735" "YBR153W" "S000000357" "ORF"
"YML081C-A" "MATCH" "1" "ATP18" "S. cerevisiae" "ATP synthase" "180" "YML081C-A" "S000007247" "ORF"
"YBR020W" "MATCH" "1" "GAL1" "S. cerevisiae" "GALactose metabolism" "1587" "YBR020W" "S000000224" "ORF"
"YIL160C" "MATCH" "1" "POT1" "S. cerevisiae" "Peroxisomal Oxoacyl Thiolase" "1254" "YIL160C" "S000001422" "ORF"
"YGR121C" "MATCH" "1" "MEP1" "S. cerevisiae" "" "1479" "YGR121C" "S000003353" "ORF"
"YER099C" "MATCH" "1" "PRS2" "S. cerevisiae" "PhosphoRibosylpyrophosphate Synthetase" "957" "YER099C" "S000000901" "ORF"
"YBR069C" "MATCH" "1" "TAT1" "S. cerevisiae" "Tyrosine and tryptophan Amino acid Transporter" "1860" "YBR069C" "S000000273" "ORF"
"YKL080W" "MATCH" "1" "VMA5" "S. cerevisiae" "Vacuolar Membrane Atpase" "1179" "YKL080W" "S000001563" "ORF"
"YMR013C" "MATCH" "1" "SEC59" "S. cerevisiae" "SECretory" "1560" "YMR013C" "S000004615" "ORF"
"YDR226W" "MATCH" "1" "ADK1" "S. cerevisiae" "ADenylate Kinase" "669" "YDR226W" "S000002634" "ORF"
"YGR254W" "MATCH" "1" "ENO1" "S. cerevisiae" "ENOlase" "1314" "YGR254W" "S000003486" "ORF"
"YDR530C" "MATCH" "1" "APA2" "S. cerevisiae" "AP4A phosphorylase" "978" "YDR530C" "S000002938" "ORF"
"YMR278W" "MATCH" "1" "PRM15" "S. cerevisiae" "Phospho Ribo Mutase" "1869" "YMR278W" "S000004891" "ORF"
"YOR303W" "MATCH" "1" "CPA1" "S. cerevisiae" "Carbamyl Phosphate synthetase A" "1236" "YOR303W" "S000005829" "ORF"
"YOR109W" "MATCH" "1" "INP53" "S. cerevisiae" "INositol polyphosphate 5-Phosphatase" "3324" "YOR109W" "S000005635" "ORF"
"YEL024W" "MATCH" "1" "RIP1" "S. cerevisiae" "Rieske Iron-sulfur Protein" "648" "YEL024W" "S000000750" "ORF"
"YIL074C" "MATCH" "1" "SER33" "S. cerevisiae" "SERine requiring" "1410" "YIL074C" "S000001336" "ORF"
"YFL022C" "MATCH" "1" "FRS2" "S. cerevisiae" "phenylalanyl (F)-tRNA Synthetase" "1512" "YFL022C" "S000001872" "ORF"
"YER073W" "MATCH" "1" "ALD5" "S. cerevisiae" "ALdehyde Dehydrogenase" "1563" "YER073W" "S000000875" "ORF"
"YBR263W" "MATCH" "1" "SHM1" "S. cerevisiae" "Serine HydroxyMethyltransferase" "1473" "YBR263W" "S000000467" "ORF"
"YBR021W" "MATCH" "1" "FUR4" "S. cerevisiae" "5-FlUoRouridine sensitivity" "1902" "YBR021W" "S000000225" "ORF"
"YJL100W" "MATCH" "1" "LSB6" "S. cerevisiae" "Las Seventeen Binding protein" "1824" "YJL100W" "S000003636" "ORF"
"YLR180W" "MATCH" "1" "SAM1" "S. cerevisiae" "S-AdenosylMethionine requiring" "1149" "YLR180W" "S000004170" "ORF"
"YGR255C" "MATCH" "1" "COQ6" "S. cerevisiae" "COenzyme Q" "1440" "YGR255C" "S000003487" "ORF"
"YJL101C" "MATCH" "1" "GSH1" "S. cerevisiae" "glutathione (GSH)" "2037" "YJL101C" "S000003637" "ORF"
"YER183C" "MATCH" "1" "FAU1" "S. cerevisiae" "Folinic Acid Utilization" "636" "YER183C" "S000000985" "ORF"
"YNL009W" "MATCH" "1" "IDP3" "S. cerevisiae" "Isocitrate Dehydrogenase, NADP-dependent" "1263" "YNL009W" "S000004954" "ORF"
"YNR058W" "MATCH" "1" "BIO3" "S. cerevisiae" "BIOtin" "1443" "YNR058W" "S000005341" "ORF"
"YLR295C" "MATCH" "1" "ATP14" "S. cerevisiae" "ATP synthase" "375" "YLR295C" "S000004286" "ORF"
"YMR256C" "MATCH" "1" "COX7" "S. cerevisiae" "Cytochrome c OXidase" "183" "YMR256C" "S000004869" "ORF"
"YPL231W" "MATCH" "1" "FAS2" "S. cerevisiae" "Fatty Acid Synthetase" "5664" "YPL231W" "S000006152" "ORF"
"YDL174C" "MATCH" "1" "DLD1" "S. cerevisiae" "D-Lactate Dehydrogenase" "1764" "YDL174C" "S000002333" "ORF"
"YDL198C" "MATCH" "1" "GGC1" "S. cerevisiae" "GDP/GTP Carrier" "903" "YDL198C" "S000002357" "ORF"
"YHR019C" "MATCH" "1" "DED81" "S. cerevisiae" "Defines Essential Domain" "1665" "YHR019C" "S000001061" "ORF"
"YKL085W" "MATCH" "1" "MDH1" "S. cerevisiae" "Malate DeHydrogenase" "1005" "YKL085W" "S000001568" "ORF"
"YJL219W" "MATCH" "1" "HXT9" "S. cerevisiae" "HeXose Transporter" "1704" "YJL219W" "S000003755" "ORF"
"YDR072C" "MATCH" "1" "IPT1" "S. cerevisiae" "InositolPhosphoTransferase" "1584" "YDR072C" "S000002479" "ORF"
"YOR100C" "MATCH" "1" "CRC1" "S. cerevisiae" "CaRnitine Carrier" "984" "YOR100C" "S000005626" "ORF"
"YDR408C" "MATCH" "1" "ADE8" "S. cerevisiae" "ADEnine requiring" "645" "YDR408C" "S000002816" "ORF"
"YNL241C" "MATCH" "1" "ZWF1" "S. cerevisiae" "ZWischenFerment" "1518" "YNL241C" "S000005185" "ORF"
"YGR010W" "MATCH" "1" "NMA2" "S. cerevisiae" "Nicotinamide Mononucleotide Adenylyltransferase" "1188" "YGR010W" "S000003242" "ORF"
"YHR128W" "MATCH" "1" "FUR1" "S. cerevisiae" "5-FluoroURidine resistant" "651" "YHR128W" "S000001170" "ORF"
"YIL124W" "MATCH" "1" "AYR1" "S. cerevisiae" "1-AcyldihYdroxyacetone-phosphate Reductase" "894" "YIL124W" "S000001386" "ORF"
"YMR015C" "MATCH" "1" "ERG5" "S. cerevisiae" "ERGosterol biosynthesis" "1617" "YMR015C" "S000004617" "ORF"
"YGR143W" "MATCH" "1" "SKN1" "S. cerevisiae" "Suppressor of Kre Null" "2316" "YGR143W" "S000003375" "ORF"
"YHR104W" "MATCH" "1" "GRE3" "S. cerevisiae" "Genes de Respuesta a Estres (stress responsive genes)" "984" "YHR104W" "S000001146" "ORF"
"YLL048C" "MATCH" "1" "YBT1" "S. cerevisiae" "Yeast Bile Transporter" "4986" "YLL048C" "S000003971" "ORF"
"YPL147W" "MATCH" "1" "PXA1" "S. cerevisiae" "PeroXisomal ABC-transporter" "2613" "YPL147W" "S000006068" "ORF"
"YDL042C" "MATCH" "1" "SIR2" "S. cerevisiae" "Silent Information Regulator" "1689" "YDL042C" "S000002200" "ORF"
"YBR192W" "MATCH" "1" "RIM2" "S. cerevisiae" "Replication In Mitochondria" "1134" "YBR192W" "S000000396" "ORF"
"YGL026C" "MATCH" "1" "TRP5" "S. cerevisiae" "TRyPtophan" "2124" "YGL026C" "S000002994" "ORF"
"YGR277C" "MATCH" "1" "CAB4" "S. cerevisiae" "Coenzyme A Biosynthesis" "918" "YGR277C" "S000003509" "ORF"
"YML086C" "MATCH" "1" "ALO1" "S. cerevisiae" "D-Arabinono-1,4-Lactone Oxidase" "1581" "YML086C" "S000004551" "ORF"
"YER056C" "MATCH" "1" "FCY2" "S. cerevisiae" "FluoroCYtosine resistance" "1602" "YER056C" "S000000858" "ORF"
"YIL125W" "MATCH" "1" "KGD1" "S. cerevisiae" "alpha-KetoGlutarate Dehydrogenase" "3045" "YIL125W" "S000001387" "ORF"
"YLR160C" "MATCH" "1" "ASP3-4" "S. cerevisiae" "ASParaginase" "1089" "YLR160C" "S000004150" "ORF"
"YMR101C" "MATCH" "1" "SRT1" "S. cerevisiae" "Suppressor of Rer-Two" "1032" "YMR101C" "S000004707" "ORF"
"YJR139C" "MATCH" "1" "HOM6" "S. cerevisiae" "HOMoserine requiring" "1080" "YJR139C" "S000003900" "ORF"
"YGR055W" "MATCH" "1" "MUP1" "S. cerevisiae" "Methionine UPtake" "1725" "YGR055W" "S000003287" "ORF"
"YGL001C" "MATCH" "1" "ERG26" "S. cerevisiae" "ERGosterol biosynthesis" "1050" "YGL001C" "S000002969" "ORF"
"YPL059W" "MATCH" "1" "GRX5" "S. cerevisiae" "GlutaRedoXin" "453" "YPL059W" "S000005980" "ORF"
"YEL027W" "MATCH" "1" "VMA3" "S. cerevisiae" "Vacuolar Membrane Atpase" "483" "YEL027W" "S000000753" "ORF"
"YNR056C" "MATCH" "1" "BIO5" "S. cerevisiae" "BIOtin" "1686" "YNR056C" "S000005339" "ORF"
"YDR050C" "MATCH" "1" "TPI1" "S. cerevisiae" "Triose-Phosphate Isomerase" "747" "YDR050C" "S000002457" "ORF"
"YOR278W" "MATCH" "1" "HEM4" "S. cerevisiae" "HEMe biosynthesis" "828" "YOR278W" "S000005804" "ORF"
"YDR098C" "MATCH" "1" "GRX3" "S. cerevisiae" "GlutaRedoXin" "753" "YDR098C" "S000002505" "ORF"
"YKL060C" "MATCH" "1" "FBA1" "S. cerevisiae" "Fructose-1,6-Bisphosphate Aldolase" "1080" "YKL060C" "S000001543" "ORF"
"YOR388C" "MATCH" "1" "FDH1" "S. cerevisiae" "Formate DeHydrogenase" "1131" "YOR388C" "S000005915" "ORF"
"YER055C" "MATCH" "1" "HIS1" "S. cerevisiae" "HIStidine" "894" "YER055C" "S000000857" "ORF"
"YGR032W" "MATCH" "1" "GSC2" "S. cerevisiae" "Glucan Synthase of Cerevisiae" "5688" "YGR032W" "S000003264" "ORF"
"YHR106W" "MATCH" "1" "TRR2" "S. cerevisiae" "ThioRedoxin Reductase" "1029" "YHR106W" "S000001148" "ORF"
"YEL029C" "MATCH" "1" "BUD16" "S. cerevisiae" "BUD site selection" "939" "YEL029C" "S000000755" "ORF"
"YNL130C" "MATCH" "1" "CPT1" "S. cerevisiae" "CholinePhosphoTransferase" "1274" "YNL130C" "S000005074" "ORF"
"YPL036W" "MATCH" "1" "PMA2" "S. cerevisiae" "Plasma Membrane ATPase" "2844" "YPL036W" "S000005957" "ORF"
"YOR120W" "MATCH" "1" "GCY1" "S. cerevisiae" "Galactose-inducible Crystallin-like Yeast protein" "939" "YOR120W" "S000005646" "ORF"
"YOR011W" "MATCH" "1" "AUS1" "S. cerevisiae" "ABC protein involved in Uptake of Sterols" "4185" "YOR011W" "S000005537" "ORF"
"YFR019W" "MATCH" "1" "FAB1" "S. cerevisiae" "Forms Aploid and Binucleate cells" "6837" "YFR019W" "S000001915" "ORF"
"YOR168W" "MATCH" "1" "GLN4" "S. cerevisiae" "GLutamiNe metabolism" "2430" "YOR168W" "S000005694" "ORF"
"YNL045W" "MATCH" "1" "LAP2" "S. cerevisiae" "Leucine AminoPeptidases" "2016" "YNL045W" "S000004990" "ORF"
"YKL194C" "MATCH" "1" "MST1" "S. cerevisiae" "Mitochondrial aminoacyl-tRNA Synthetase, Threonine" "1389" "YKL194C" "S000001677" "ORF"
"YDR428C" "MATCH" "1" "BNA7" "S. cerevisiae" "Biosynthesis of NAD" "786" "YDR428C" "S000002836" "ORF"
"YJR137C" "MATCH" "1" "MET5" "S. cerevisiae" "METhionine requiring" "4329" "YJR137C" "S000003898" "ORF"
"YBL015W" "MATCH" "1" "ACH1" "S. cerevisiae" "Acetyl CoA Hydrolase" "1581" "YBL015W" "S000000111" "ORF"
"YDL045C" "MATCH" "1" "FAD1" "S. cerevisiae" "FAD synthetase" "921" "YDL045C" "S000002203" "ORF"
"YHR123W" "MATCH" "1" "EPT1" "S. cerevisiae" "EthanolaminePhosphoTransferase" "1267" "YHR123W" "S000001165" "ORF"
"YNR050C" "MATCH" "1" "LYS9" "S. cerevisiae" "LYSine requiring" "1341" "YNR050C" "S000005333" "ORF"
"YIL013C" "MATCH" "1" "PDR11" "S. cerevisiae" "Pleiotropic Drug Resistance" "4236" "YIL013C" "S000001275" "ORF"
"YLR056W" "MATCH" "1" "ERG3" "S. cerevisiae" "ERGosterol biosynthesis" "1098" "YLR056W" "S000004046" "ORF"
"YOR321W" "MATCH" "1" "PMT3" "S. cerevisiae" "Protein O-MannosylTransferase" "2262" "YOR321W" "S000005848" "ORF"
"YPL057C" "MATCH" "1" "SUR1" "S. cerevisiae" "SUppressor of Rvs161 and rvs167 mutations" "1149" "YPL057C" "S000005978" "ORF"
"YDR536W" "MATCH" "1" "STL1" "S. cerevisiae" "Sugar Transporter-Like protein" "1710" "YDR536W" "S000002944" "ORF"
"YHR100C" "MATCH" "1" "GEP4" "S. cerevisiae" "GEnetic interactors of Prohibitins" "558" "YHR100C" "S000001142" "ORF"
"YDR403W" "MATCH" "1" "DIT1" "S. cerevisiae" "DITyrosine" "1611" "YDR403W" "S000002811" "ORF"
"YBR196C" "MATCH" "1" "PGI1" "S. cerevisiae" "PhosphoGlucoIsomerase" "1665" "YBR196C" "S000000400" "ORF"
"YOR128C" "MATCH" "1" "ADE2" "S. cerevisiae" "ADEnine requiring" "1716" "YOR128C" "S000005654" "ORF"
"YBL039C" "MATCH" "1" "URA7" "S. cerevisiae" "URAcil requiring" "1740" "YBL039C" "S000000135" "ORF"
"YKL152C" "MATCH" "1" "GPM1" "S. cerevisiae" "Glycerate PhosphoMutase" "744" "YKL152C" "S000001635" "ORF"
"YGL248W" "MATCH" "1" "PDE1" "S. cerevisiae" "PhosphoDiEsterase" "1110" "YGL248W" "S000003217" "ORF"
"YJR159W" "MATCH" "1" "SOR1" "S. cerevisiae" "" "1074" "YJR159W" "S000003920" "ORF"
"YOR236W" "MATCH" "1" "DFR1" "S. cerevisiae" "DihydroFolate Reductase" "636" "YOR236W" "S000005762" "ORF"
"YDR208W" "MATCH" "1" "MSS4" "S. cerevisiae" "Multicopy Suppressor of Stt4 mutation" "2340" "YDR208W" "S000002616" "ORF"
"YNL003C" "MATCH" "1" "PET8" "S. cerevisiae" "PETite colonies" "855" "YNL003C" "S000004948" "ORF"
"YEL006W" "MATCH" "1" "YEA6" "S. cerevisiae" "" "1008" "YEL006W" "S000000732" "ORF"
"YIL145C" "MATCH" "1" "PAN6" "S. cerevisiae" "PANtothenate biosynthesis" "930" "YIL145C" "S000001407" "ORF"
"YJL216C" "MATCH" "1" "IMA5" "S. cerevisiae" "IsoMAltase" "1746" "YJL216C" "S000003752" "ORF"
"YLR142W" "MATCH" "1" "PUT1" "S. cerevisiae" "Proline UTilization" "1431" "YLR142W" "S000004132" "ORF"
"YLR299W" "MATCH" "1" "ECM38" "S. cerevisiae" "ExtraCellular Mutant" "1983" "YLR299W" "S000004290" "ORF"
"YGL224C" "MATCH" "1" "SDT1" "S. cerevisiae" "Suppressor of Disruption of TFIIS" "843" "YGL224C" "S000003192" "ORF"
"YNR072W" "MATCH" "1" "HXT17" "S. cerevisiae" "HeXose Transporter" "1695" "YNR072W" "S000005355" "ORF"
"YLL028W" "MATCH" "1" "TPO1" "S. cerevisiae" "Transporter of POlyamines" "1761" "YLL028W" "S000003951" "ORF"
"YLR058C" "MATCH" "1" "SHM2" "S. cerevisiae" "Serine HydroxyMethyltransferase" "1410" "YLR058C" "S000004048" "ORF"
"YDL178W" "MATCH" "1" "DLD2" "S. cerevisiae" "D-Lactate Dehydrogenase" "1593" "YDL178W" "S000002337" "ORF"
"YPL252C" "MATCH" "1" "YAH1" "S. cerevisiae" "Yeast Adrenodoxin Homolog" "519" "YPL252C" "S000006173" "ORF"
"YMR105C" "MATCH" "1" "PGM2" "S. cerevisiae" "PhosphoGlucoMutase" "1710" "YMR105C" "S000004711" "ORF"
"YJR110W" "MATCH" "1" "YMR1" "S. cerevisiae" "Yeast Myotubularin Related" "2067" "YJR110W" "S000003871" "ORF"
"YLR382C" "MATCH" "1" "NAM2" "S. cerevisiae" "Nuclear Accommodation of Mitochondria" "2685" "YLR382C" "S000004374" "ORF"
"YIL010W" "MATCH" "1" "DOT5" "S. cerevisiae" "Disruptor Of Telomeric silencing" "648" "YIL010W" "S000001272" "ORF"
"YBL013W" "MATCH" "1" "FMT1" "S. cerevisiae" "Formyl-Methionyl-tRNA Transformylase" "1206" "YBL013W" "S000000109" "ORF"
"YDL067C" "MATCH" "1" "COX9" "S. cerevisiae" "Cytochrome c OXidase" "180" "YDL067C" "S000002225" "ORF"
"YPL273W" "MATCH" "1" "SAM4" "S. cerevisiae" "S-AdenosylMethionine metabolism" "978" "YPL273W" "S000006194" "ORF"
"YJR001W" "MATCH" "1" "AVT1" "S. cerevisiae" "Amino acid Vacuolar Transport" "1809" "YJR001W" "S000003761" "ORF"
"YCR005C" "MATCH" "1" "CIT2" "S. cerevisiae" "CITrate synthase" "1383" "YCR005C" "S000000598" "ORF"
"YJR158W" "MATCH" "1" "HXT16" "S. cerevisiae" "HeXose Transporter" "1704" "YJR158W" "S000003919" "ORF"
"YPL188W" "MATCH" "1" "POS5" "S. cerevisiae" "PerOxide Sensitive" "1245" "YPL188W" "S000006109" "ORF"
"YBR084W" "MATCH" "1" "MIS1" "S. cerevisiae" "MItochondrial C1-tetrahydrofolate Synthase" "2928" "YBR084W" "S000000288" "ORF"
"YNL268W" "MATCH" "1" "LYP1" "S. cerevisiae" "LYsine-specific Permease" "1836" "YNL268W" "S000005212" "ORF"
"YDL066W" "MATCH" "1" "IDP1" "S. cerevisiae" "Isocitrate Dehydrogenase, NADP-specific" "1287" "YDL066W" "S000002224" "ORF"
