Gene [Systematic Name];Gene [Standard Name];ORF Qualifier;Gene Description;Mutant Type;Phenotypes > Observable;Qualifier;Strain Background;Chemical;Drain Info;Carbon source;Medium;Special Condition (remove_genes);Special Condition (remove_metab);Special Condition (add_metab);Condition;Details;PubMed ID;Culture type;PATHWAY;PATHWAY [subclass]
YDR399W;HPT1;Verified;Hypoxanthine guanine PhosphoribosylTransferase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Nucleotide salvage metabolism;Nucleotide metabolism
YDR400W;URH1;Verified;URidine Hydrolase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Nicotinate and nicotinamide metabolism;Metabolism of cofactors and vitamins
YDR402C;DIT2;Verified;DITyrosine;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Fatty acid metabolism;Lipid metabolism
YDR403W;DIT1;Verified;DITyrosine;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Phenylalanine, tyrosine and tryptophan biosynthesis;Amino acid metabolism
YDR408C;ADE8;Verified;ADEnine requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Purine metabolism;Nucleotide metabolism
YDR410C;STE14;Verified;STErile;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Other;Other
YDR428C;BNA7;Verified;Biosynthesis of NAD;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Phenylalanine, tyrosine and tryptophan biosynthesis;Amino acid metabolism
YDR434W;GPI17;Verified;GlycosylPhosphatidylInositol anchor biosynthesis;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;GPI-anchor biosynthesis;GLycan biosynthesis and metabolism
YDR437W;GPI19;Verified;Glycosyl PhosphatidylInositol anchor biosynthesis;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;GPI-anchor biosynthesis;Glycan biosynthesis and metabolism
YDR441C;APT2;Verified;Adenine PhosphoribosylTransferase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Nucleotide salvage metabolism;Nucleotide metabolism
YDR453C;TSA2;Verified;Thiol-Specific Antioxidant;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Other;Other
YDR454C;GUK1;Verified;GUanylate Kinase;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Purine metabolism;Nucleotide metabolism
YDR468C;TLG1;Verified;T-snare affecting a Late Golgi compartment;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Other;Other
YDR481C;PHO8;Verified;PHOsphate metabolism;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Folate metabolism;Metabolism of cofactors and vitamins
YDR483W;KRE2;Verified;Killer toxin REsistant;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycan biosynthesis;Glycan biosynthesis and metabolism
YDR487C;RIB3;Verified;RIBoflavin biosynthesis;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Riboflavin, FMN and FAD metabolism;Metabolism of cofactors and vitamins
YDR497C;ITR1;Verified;myo-Inositol TRansporter;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YDR503C;LPP1;Verified;Lipid Phosphate Phosphatase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycerophospholipid metabolism;Lipid metabolism
YDR508C;GNP1;Verified;GlutamiNe Permease;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YDR513W;GRX2;Verified;GlutaRedoXin;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glutathione metabolism;Metabolism of other amino acids
YDR529C;QCR7;Verified;ubiQuinol-cytochrome C oxidoReductase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Oxidative phosphorylation;Energy metabolism
YDR530C;APA2;Verified;AP4A phosphorylase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Purine metabolism;Nucleotide metabolism
YDR531W;CAB1;Verified;Coenzyme A Biosynthesis;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549+19266201;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Pantothenate and CoA biosynthesis;Metabolism of cofactors and vitamins
YDR536W;STL1;Verified;Sugar Transporter-Like protein;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YDR538W;PAD1;Verified;Phenylacrylic Acid Decarboxylase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Ubiquinone metabolism;Metabolism of cofactors and vitamins
YEL006W;YEA6;Verified;Undefined;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YEL011W;GLC3;Verified;GLyCogen;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Other sugars metabolism;Carbohydrate metabolism
YEL013W;VAC8;Verified;VACuole related;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Other;Other
YEL017C-A;PMP2;Verified;Plasma Membrane Proteolipid;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Oxidative phosphorylation;Energy metabolism
YEL024W;RIP1;Verified;Rieske Iron-sulfur Protein;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Oxidative phosphorylation;Energy metabolism
YEL027W;VMA3;Verified;Vacuolar Membrane Atpase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Oxidative phosphorylation;Energy metabolism
YEL029C;BUD16;Verified;BUD site selection;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Vitamin B6 metabolism;Metabolism of cofactors and vitamins
YEL038W;UTR4;Verified;Unidentified TRanscript;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Cysteine and methionine metabolism;Amino acid metabolism
YEL039C;CYC7;Verified;CYtochrome C;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Oxidative phosphorylation;Energy metabolism
YEL041W;YEF1;Verified;Undefined;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Nicotinate and nicotinamide metabolism;Metabolism of cofactors and vitamins
YEL042W;GDA1;Verified;Guanosine DiphosphatAse;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Nucleotide salvage metabolism;Nucleotide metabolism
YEL046C;GLY1;Verified;GLYcine requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycine, serine and threonine metabolism;Amino acid metabolism
YEL047C;FRD1;Verified;Fumarate ReDuctase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Oxidative phosphorylation;Energy metabolism
YEL051W;VMA8;Verified;Vacuolar Membrane Atpase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Oxidative phosphorylation;Energy metabolism
YEL053C;MAK10;Verified;MAintenance of Killer;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Other;Other
YEL058W;PCM1;Verified;PhosphoaCetylglucosamine Mutase;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycan biosynthesis;Amino acid metabolism
YEL063C;CAN1;Verified;CANavanine resistance;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YEL071W;DLD3;Verified;D-Lactate Dehydrogenase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Pyruvate metabolism;Carbohydrate metabolism
YER003C;PMI40;Verified;PhosphoMannose Isomerase;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Fructose and mannose metabolism;Carbohydrate metabolism
YER005W;YND1;Verified;Yeast Nucleoside Diphosphatase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Purine metabolism;Nucleotide metabolism
YER014W;HEM14;Verified;HEMe biosynthesis;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Porphyrin and chlorophyll metabolism;Metabolism of cofactors and vitamins
YER019W;ISC1;Verified;Inositol phosphoSphingolipid phospholipase C;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Sphingolipid metabolism;Lipid metabolism
YER023W;PRO3;Verified;PROline requiring;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Arginine and proline metabolism;Amino acid metabolism
YER024W;YAT2;Verified;Undefined;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Fatty acid metabolism;Lipid metabolism
YER037W;PHM8;Verified;PHosphate Metabolism;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Nucleotide salvage metabolism;Nucleotide metabolism
YER043C;SAH1;Verified;S-Adenosyl-l-Homocysteine hydrolase;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Cysteine and methionine metabolism;Amino acid metabolism
YER052C;HOM3;Verified;HOMoserine requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycine, serine and threonine metabolism;Amino acid metabolism
YER053C;PIC2;Verified;PI Carrier;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YER055C;HIS1;Verified;HIStidine;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Histidine metabolism;Amino acid metabolism
YER056C;FCY2;Verified;FluoroCYtosine resistance;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YER060W;FCY21;Verified;FluoroCYtosine resistance;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YER062C;GPP2;Verified;Glycerol-3-Phosphate Phosphatase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycerophospholipid metabolism;Lipid metabolism
YER065C;ICL1;Verified;IsoCitrate Lyase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glyoxylate and dicarboxylate metabolism;Carbohydrate metabolism
YER069W;ARG5,6;Verified;ARGinine requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Arginine and proline metabolism;Amino acid metabolism
YER070W;RNR1;Verified;RiboNucleotide Reductase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Purine metabolism;Nucleotide metabolism
YER073W;ALD5;Verified;ALdehyde Dehydrogenase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycolysis / Gluconeogenesis;Carbohydrate metabolism
YER081W;SER3;Verified;SERine requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycine, serine and threonine metabolism;Amino acid metabolism
YER086W;ILV1;Verified;IsoLeucine-plus-Valine requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Valine, leucine and isoleucine metabolism;Amino acid metabolism
YER087W;AIM10;Verified;Altered Inheritance rate of Mitochondria;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Aminoacyl-tRNA biosynthesis;Translation
YER090W;TRP2;Verified;TRyPtophan;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Phenylalanine, tyrosine and tryptophan biosynthesis;Amino acid metabolism
YER091C;MET6;Verified;METhionine requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Cysteine and methionine metabolism;Amino acid metabolism
YER093C;TSC11;Verified;Temperature-sensitive Suppressors of Csg2 mutants;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Other;Other
YER119C;AVT6;Verified;Amino acid Vacuolar Transport;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YER141W;COX15;Verified;Cytochrome c OXidase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Porphyrin and chlorophyll metabolism;Metabolism of cofactors and vitamins
YER152C;Undefined;Verified;Undefined;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Other;Other
YER166W;DNF1;Verified;Drs2 Neo1 Family;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YER170W;ADK2;Verified;ADenylate Kinase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Purine metabolism;Nucleotide metabolism
YER174C;GRX4;Verified;GlutaRedoXin;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glutathione metabolism;Metabolism of other amino acids
YER175C;TMT1;Verified;Trans-aconitate MethylTransferase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Other;Other
YER178W;PDA1;Verified;Pyruvate Dehydrogenase Alpha;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycolysis / Gluconeogenesis;Carbohydrate metabolism
YER183C;FAU1;Verified;Folinic Acid Utilization;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Folate metabolism;Metabolism of cofactors and vitamins
YFL011W;HXT10;Verified;HeXose Transporter;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YFL017C;GNA1;Verified;GlucosamiNe-6-phosphate Acetyltransferase;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycan biosynthesis;Amino acid metabolism
YFL018C;LPD1;Verified;LiPoamide Dehydrogenase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;TCA cycle;Carbohydrate metabolism
YFL022C;FRS2;Verified;phenylalanyl (F)-tRNA Synthetase;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Aminoacyl-tRNA biosynthesis;Translation
YFL025C;BST1;Verified;Bypass of Sec Thirteen;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Other;Other
YFL030W;AGX1;Verified;Alanine:Glyoxylate aminotrans(X)ferase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycine, serine and threonine metabolism;Amino acid metabolism
YFL045C;SEC53;Verified;SECretory;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549+3905826;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Fructose and mannose metabolism;Carbohydrate metabolism
YFL053W;DAK2;Verified;DihydroxyAcetone Kinase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Fructose and mannose metabolism;Carbohydrate metabolism
YFL055W;AGP3;Verified;high-Affinity Glutamine Permease;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YFR015C;GSY1;Verified;Glycogen SYnthase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Other sugars metabolism;Carbohydrate metabolism
YFR019W;FAB1;Verified;Forms Aploid and Binucleate cells;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycerophospholipid metabolism;Lipid metabolism
YFR025C;HIS2;Verified;HIStidine requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Histidine metabolism;Amino acid metabolism
YFR030W;MET10;Verified;METhionine requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Cysteine and methionine metabolism;Amino acid metabolism
YFR033C;QCR6;Verified;ubiQuinol-cytochrome C oxidoReductase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Oxidative phosphorylation;Energy metabolism
YFR047C;BNA6;Verified;Biosynthesis of Nicotinic Acid;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Nicotinate and nicotinamide metabolism;Metabolism of cofactors and vitamins
YFR053C;HXK1;Verified;HeXoKinase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Glycolysis / Gluconeogenesis;Carbohydrate metabolism
YFR055W;IRC7;Verified;Increased Recombination Centers;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Cysteine and methionine metabolism;Amino acid metabolism
YGL001C;ERG26;Verified;ERGosterol biosynthesis;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Sterol metabolism;Lipid metabolism
YGL008C;PMA1;Verified;Plasma Membrane ATPase;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Oxidative phosphorylation;Energy metabolism
YGL009C;LEU1;Verified;LEUcine biosynthesis;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Valine, leucine and isoleucine metabolism;Amino acid metabolism
YGL012W;ERG4;Verified;ERGosterol biosynthesis;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Sterol metabolism;Lipid metabolism
YGL026C;TRP5;Verified;TRyPtophan;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Phenylalanine, tyrosine and tryptophan biosynthesis;Amino acid metabolism
YGL037C;PNC1;Verified;Pyrazinamidase and NiCotinamidase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Nicotinate and nicotinamide metabolism;Metabolism of cofactors and vitamins
YGL040C;HEM2;Verified;HEMe biosynthesis;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Porphyrin and chlorophyll metabolism;Metabolism of cofactors and vitamins
YGL047W;ALG13;Verified;Asparagine-Linked Glycosylation;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Lipid-linked oligosaccharide biosynthesis;Lipid metabolism
YGL055W;OLE1;Verified;OLEic acid requiring;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Fatty acid metabolism;Lipid metabolism
YGL062W;PYC1;Verified;PYruvate Carboxylase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Pyruvate metabolism;Carbohydrate metabolism
YGL063W;PUS2;Verified;PseudoUridine Synthase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Pyrimidine metabolism;Nucleotide metabolism
YGL065C;ALG2;Verified;Asparagine-Linked Glycosylation;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Lipid-linked oligosaccharide biosynthesis;Lipid metabolism
YGL067W;NPY1;Verified;NADH PYrophosphatase;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Nicotinate and nicotinamide metabolism;Metabolism of cofactors and vitamins
YGL077C;HNM1;Verified;Hyper-resistance to Nitrogen Mustard;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YGL080W;MPC1;Verified;Mitochondrial Pyruvate Carrier;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YGL084C;GUP1;Verified;Glycerol UPtake;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
YGL125W;MET13;Verified;METhionine requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Folate metabolism;Metabolism of cofactors and vitamins
YGL142C;GPI10;Verified;GlycosylPhosphatidylInositol anchor biosynthesis;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549+9576863;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;GPI-anchor biosynthesis;Glycan biosynthesis and metabolism
YGL148W;ARO2;Verified;AROmatic amino acid requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Phenylalanine, tyrosine and tryptophan biosynthesis;Amino acid metabolism
YGL154C;LYS5;Verified;LYSine requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Lysine biosynthesis;Amino acid metabolism
YGL155W;CDC43;Verified;Cell Division Cycle;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Ubiquinone metabolism;Metabolism of cofactors and vitamins
YGL202W;ARO8;Verified;AROmatic amino acid requiring;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Phenylalanine, tyrosine and tryptophan biosynthesis;Amino acid metabolism
YGL205W;POX1;Verified;Undefined;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Fatty acid metabolism;Lipid metabolism
YGL224C;SDT1;Verified;Suppressor of Disruption of TFIIS;null;Viable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Nucleotide salvage metabolism;Nucleotide metabolism
YGL225W;VRG4;Verified;Vandate Resistance Glycosylation;null;Inviable;none;S288C;;;glucose;YPD;;;;;;12140549;grown at 30ºC with shaking at ,250–300 r.p.m. in 250-ml flasks.;Transport;Transport
