Gene [Systematic Name];Gene [Standard Name];ORF qualifier;Phenotypes > Observable;Experiment Type;Experiment Type Category;Mutant information;Strain Background;Strain Backgr (specific);Chemical;Chemical (drain);Carbon source;Medium;Special Condition (remove_genes);Special Condition (remove_metab);Special Condition (add_metab);Details;PubMed ID;Present in GSMM;Notes;PATHWAY;PATHWAY [subclass]
YOL052C;SPE2;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;BY4742;0.1 mM pantothenic acid;pantothenate;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;;adenine, uracil, methionine, arginine, histidine, tyrosine, lysine, leucine, isoleucine, phenylalanine, valine, aspartate, threonine, glutamate, serine;Condition: media lacking polyamines ;11154694;Y;;Polyamines metabolism;Metabolism of cofactors and vitamins
YOL052C;SPE2;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;BY4742;0.25 mM spermine;spermine;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;pantothenate;adenine, uracil, methionine, arginine, histidine, tyrosine, lysine, leucine, isoleucine, phenylalanine, valine, aspartate, threonine, glutamate, serine;Condition: media lacking polyamines ;11154694;Y;;Polyamines metabolism;Metabolism of cofactors and vitamins
YPR069C;SPE3;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;BY4742;0.1 mM beta-alanine;beta-alanine;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;pantothenate;adenine, uracil, methionine, arginine, histidine, tyrosine, lysine, leucine, isoleucine, phenylalanine, valine, aspartate, threonine, glutamate, serine;Condition: media lacking polyamines ;11154694;Y;;Polyamines metabolism;Metabolism of cofactors and vitamins
YPR069C;SPE3;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;BY4742;0.1 mM pantothenic acid;pantothenate;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;;adenine, uracil, methionine, arginine, histidine, tyrosine, lysine, leucine, isoleucine, phenylalanine, valine, aspartate, threonine, glutamate, serine;Condition: media lacking polyamines ;11154694;Y;;Polyamines metabolism;Metabolism of cofactors and vitamins
YPR069C;SPE3;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;BY4742;10 uM spermidine;spermidine;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;pantothenate;adenine, uracil, methionine, arginine, histidine, tyrosine, lysine, leucine, isoleucine, phenylalanine, valine, aspartate, threonine, glutamate, serine;Condition: media lacking polyamines ;11154694;Y;;Polyamines metabolism;Metabolism of cofactors and vitamins
YPR069C;SPE3;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;BY4742;0.25 mM spermine;spermine;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;pantothenate;adenine, uracil, methionine, arginine, histidine, tyrosine, lysine, leucine, isoleucine, phenylalanine, valine, aspartate, threonine, glutamate, serine;Condition: media lacking polyamines ;11154694;Y;;Polyamines metabolism;Metabolism of cofactors and vitamins
YLR146C;SPE4;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;BY4742;0.1 mM beta-alanine;beta-alanine;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;pantothenate;adenine, uracil, methionine, arginine, histidine, tyrosine, lysine, leucine, isoleucine, phenylalanine, valine, aspartate, threonine, glutamate, serine;Condition: media lacking polyamines ;11154694;Y;;Polyamines metabolism;Metabolism of cofactors and vitamins
YLR146C;SPE4;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;BY4742;0.1 mM pantothenic acid;pantothenate;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;;adenine, uracil, methionine, arginine, histidine, tyrosine, lysine, leucine, isoleucine, phenylalanine, valine, aspartate, threonine, glutamate, serine;Condition: media lacking polyamines ;11154694;Y;;Polyamines metabolism;Metabolism of cofactors and vitamins
YLR146C;SPE4;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;BY4742;0.25 mM spermine;spermine;glucose;YNBD;YOR202W, YCL018W, YEL021W, YBR115C;pantothenate;adenine, uracil, methionine, arginine, histidine, tyrosine, lysine, leucine, isoleucine, phenylalanine, valine, aspartate, threonine, glutamate, serine;Condition: media lacking polyamines ;11154694;Y;;Polyamines metabolism;Metabolism of cofactors and vitamins
YPL214C;THI6;Verified;auxotrophy;classical genetics;classical genetics;null;Other;;thiamine;thiamine;glucose;YNBD;;;;;7982968;Y;;Thiamine metabolism;Metabolism of cofactors and vitamins
YHR025W;THR1;Verified;auxotrophy;classical genetics;classical genetics;null;Other;;L-threonine;threonine;glucose;YPD;;;;;20305002;Y;;Glycine, serine and threonine metabolism;Amino acid metabolism
YCR053W;THR4;Verified;auxotrophy;classical genetics;classical genetics;null;Other;;L-threonine;threonine;glucose;YPD;;;;;20305002;Y;;Glycine, serine and threonine metabolism;Amino acid metabolism
YPR074C;TKL1;Verified;auxotrophy;classical genetics;classical genetics;null;W303;;tyrosine;tyrosine;glucose;YPD;;tryptophan, phenylalanine;;transketolase is required for the synthesis of erythrose-4-P, a precursor of the aromatic amino acids.;8226984;Y;;Pentose phosphate pathway;Carbohydrate metabolism
YPR074C;TKL1;Verified;auxotrophy;classical genetics;classical genetics;null;W303;;tryptophan;tryptophan;glucose;YPD;;tyrosine, phenylalanine;;transketolase is required for the synthesis of erythrose-4-P, a precursor of the aromatic amino acids.;8226984;Y;;Pentose phosphate pathway;Carbohydrate metabolism
YPR074C;TKL1;Verified;auxotrophy;classical genetics;classical genetics;null;W303;;phenylalanine;phenylalanine;glucose;YPD;;tyrosine, tryptophan;;transketolase is required for the synthesis of erythrose-4-P, a precursor of the aromatic amino acids.;8226984;Y;;Pentose phosphate pathway;Carbohydrate metabolism
YGR096W;TPC1;Verified;auxotrophy;classical genetics;classical genetics;null;S288C;;thiamine;thiamine;glucose;YPD;;;;Details: thiamine auxotrophy is rescued by the addition of isoleucine and valine ;12411483;Y;;Thiamine metabolism;Metabolism of cofactors and vitamins
YIL116W;HIS5;Verified;auxotrophy;classical genetics;classical genetics;unspecified;Other;;histidine;histidine;glucose;YNBD;;;;;7044894;Y;;Histidine metabolism;Amino acid metabolism
YIL020C;HIS6;Verified;auxotrophy;classical genetics;classical genetics;unspecified;Other;;histidine;histidine;glucose;YNBD;;;;;9332345;Y;;Histidine metabolism;Amino acid metabolism
YGR065C;VHT1;Verified;auxotrophy;classical genetics;classical genetics;unspecified;Other;;long-chain fatty acid;biotin;glucose;YNBD;;;;Details: fatty acid auxotrophy is suppressed by the addition of laurate (C12), myristate (C14), palmitate (C16) or biotin ;10373489;Y;;Transport;Transport
YMR108W;ILV2;Verified;auxotrophy;classical genetics;classical genetics;reduction of function;Other;;isoleucine;isoleucine, valine;glucose;YPD;;;;;14124940;Y;;Valine, leucine and isoleucine metabolism;Amino acid metabolism
YKL216W;URA1;Verified;auxotrophy;classical genetics;classical genetics;null;FL100;;uracil;uracil;glucose;YNBD;;;;minimal medium;5651325;Y;;Pyrimidine metabolism;Nucleotide metabolism
YJL130C;URA2;Verified;auxotrophy;classical genetics;classical genetics;null;FL100;;uracil;uracil;glucose;YNBD;;;;minimal medium;5651325;Y;;Pyrimidine metabolism;Nucleotide metabolism
YEL021W;URA3;Verified;auxotrophy;classical genetics;classical genetics;null;FL100;;uracil;uracil;glucose;YNBD;;;;minimal medium;5651325;Y;BY4743 auxotrophy;Pyrimidine metabolism;Nucleotide metabolism
YLR420W;URA4;Verified;auxotrophy;classical genetics;classical genetics;null;FL100;;uracil;uracil;glucose;YNBD;;;;minimal medium;5651325;Y;;Pyrimidine metabolism;Nucleotide metabolism
YLR355C;ILV5;Verified;auxotrophy;classical genetics;classical genetics;reduction of function;Other;;isoleucine;isoleucine, valine;glucose;YPD;;;;;14124940;Y;;Valine, leucine and isoleucine metabolism;Amino acid metabolism
YDL185W;VMA1;Verified;auxotrophy;homozygous diploid, systematic mutation set;large-scale survey;null;S288C;BY4743;myo-inositol;myo-inositol;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;methionine, arginine, adenine, leucine, histidine, lysine, tryptophan, uracil, choline;S- no visible growth on I−C+ media (at any T);21136082;Y;;Oxidative phosphorylation;Energy metabolism
YPR036W;VMA13;Verified;auxotrophy;homozygous diploid, systematic mutation set;large-scale survey;null;S288C;BY4743;myo-inositol;myo-inositol;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;methionine, arginine, adenine, leucine, histidine, lysine, tryptophan, uracil, choline;S- no visible growth on I−C− or I−C+ media (at any T);21136082;Y;;Oxidative phosphorylation;Energy metabolism
YHR026W;VMA16;Verified;auxotrophy;homozygous diploid, systematic mutation set;large-scale survey;null;S288C;BY4743;myo-inositol;myo-inositol;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;methionine, arginine, adenine, leucine, histidine, lysine, tryptophan, uracil, choline;S- no visible growth on I−C+ media (at any T);21136082;Y;;Oxidative phosphorylation;Energy metabolism
YBR127C;VMA2;Verified;auxotrophy;homozygous diploid, systematic mutation set;large-scale survey;null;S288C;BY4743;myo-inositol;myo-inositol;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;methionine, arginine, adenine, leucine, histidine, lysine, tryptophan, uracil, choline;S- no visible growth on I−C− or I−C+ media (at any T);21136082;Y;;Oxidative phosphorylation;Energy metabolism
YEL027W;VMA3;Verified;auxotrophy;homozygous diploid, systematic mutation set;large-scale survey;null;S288C;BY4743;myo-inositol;myo-inositol;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;methionine, arginine, adenine, leucine, histidine, lysine, tryptophan, uracil, choline;S- no visible growth on I−C+ media (at any T);21136082;Y;;Oxidative phosphorylation;Energy metabolism
YEL051W;VMA8;Verified;auxotrophy;homozygous diploid, systematic mutation set;large-scale survey;null;S288C;BY4743;myo-inositol;myo-inositol;glucose;YNBD;YOR202W, YCL018W, YLR303W, YEL021W, YBR115C;;methionine, arginine, adenine, leucine, histidine, lysine, tryptophan, uracil, choline;S- no visible growth on I−C+ media (at any T);21136082;Y;;Oxidative phosphorylation;Energy metabolism
YNL241C;ZWF1;Verified;auxotrophy;classical genetics;classical genetics;null;Undefined;not specified;methionine;methionine;glucose;YNBD;;;;;1101032, 2001672, 2001672;Y;;Pentose phosphate pathway;Carbohydrate metabolism
YOR236W;DFR1;Verified;auxotrophy;classical genetics;classical genetics;null;Other;;dTMP;dTMP;glucose;YPD;;;;in the presence of methotrexate (MTX);1427091;Y;;Folate metabolism;Metabolism of cofactors and vitamins
YER086W;ILV1;Verified;auxotrophy;classical genetics;classical genetics;unspecified;Undefined;not specified;isoleucine;isoleucine;glucose;YPD;;;;Details: ilv1 mutants are isoleucine but not valine auxotrophs ;14124940;Y;;Valine, leucine and isoleucine metabolism;Amino acid metabolism
YGL009C;LEU1;Verified;auxotrophy;classical genetics;classical genetics;unspecified;Other;;leucine;leucine;glucose;YNBD;;;;;17247984;Y;;Valine, leucine and isoleucine metabolism;Amino acid metabolism
YIR034C;LYS1;Verified;auxotrophy;classical genetics;classical genetics;unspecified;Other;;lysine;lysine;glucose;YNBD;;;;;17247984;Y;;Lysine biosynthesis;Amino acid metabolism
YJL101C;GSH1;Verified;auxotrophy;classical genetics;classical genetics;null;Other;;glutathione;glutathione;glucose;YNBD;;;;Condition: non-stress conditions: SD minimal media Details: growth restored by adding DTT, BME, cysteine, or homocysteine ;8662189;Y;;Glutathione metabolism;Metabolism of other amino acids
YER055C;HIS1;Verified;auxotrophy;classical genetics;classical genetics;unspecified;Other;;histidine;histidine;glucose;YNBD;;;;;17248619;Y;;Histidine metabolism;Amino acid metabolism
YGL026C;TRP5;Verified;auxotrophy;classical genetics;classical genetics;unspecified;X2180-1A;;tryptophan;tryptophan;glucose;YNBD;;;;;348687, 7975891;Y;;Phenylalanine, tyrosine and tryptophan biosynthesis;Amino acid metabolism
